ID,Category,Conditions,Bodies,Makes,Models,Mileage,Fuel_Types,Engine,Years,Fuel_Consumption,Transmission,Drives,Fuel_Economy,Exterior_Colors,Interior_Color,CIF_USD,Price_USD,Price_GHS,Seats,Dimensions_mm,Trim_Edition,Range_km,Power,Source,specs_json,_sourceFile,_sourceType
IZZY-TOYOTA-BZ5-2026,EV,Brand new,Hatchback (Compact EV),Toyota,bZ5,,Pure electric,Electric 268hp (200kW),2026,,Single-speed,FWD,,,,25000,26000,403000,5,,,630,268 hp,WhatsApp Chat,{},Group_Hatchbacks.csv,main-features-csv
IZZY-XPENG-G9-625-LONG-RANGE-MAX-2025,EV,Used,SUV,XPeng,G9 625 Long Range Max,"4,000 km",Pure electric,,2025,,Automatic,RWD,,,,34000,35000,542500,5,,,625,,WhatsApp Chat,{},Group_SUVs.csv,main-features-csv
IZZY-XPENG-G9-725-MAX-LONG-RANGE-2025,EV,Used,SUV,XPeng,G9 725 Max Long-Range,"2,000 km",Pure electric,,2025,,Automatic,,,,,36000,37000,573500,5,,,725,,WhatsApp Chat,{},Group_SUVs.csv,main-features-csv
IZZY-XPENG-G9-625-MAX-2026,EV,Brand new,SUV,XPeng,G9 625 Max,,Pure electric,,2026,,Single-speed,RWD,,,,41000,42000,651000,5,,,625,,WhatsApp Chat,{},Group_SUVs.csv,main-features-csv
IZZY-XPENG-G9-680-MAX-2026,EV,Brand new,SUV,XPeng,G9 680 Max,,Pure electric,,2026,,Single-speed,RWD,,,,43800,44800,694400,5,,,680,,WhatsApp Chat,{},Group_SUVs.csv,main-features-csv
IZZY-XPENG-GX--3-ROW-SUV--EV-2026,EV,Brand new,SUV,XPeng,GX (3-row SUV) EV,,Pure electric,,2026,,Single-speed,,,,,48000,49000,759500,6,,,750,,WhatsApp Chat,{},Group_SUVs.csv,main-features-csv
IZZY-AITO-M9-EXTENDED-RANGE-ULTRA-52KWH-2025,Hybrid,Used,SUV,AITO,M9 Extended Range Ultra 52kWh,"3,000 km",Range extender,,2025,,Automatic,,,,,75800,76800,1190400,6,,,,,WhatsApp Chat,{},Group_SUVs.csv,main-features-csv
IZZY-AVATR-12-ULTRA-RWD-EXTENDED-RANGE-2026,Hybrid,Brand new,Sedan,AVATR,12 Ultra RWD Extended Range,,Range extender,,2026,,Automatic,RWD,,,,42200,43200,669600,5,,,356,,WhatsApp Chat,{},Group_Sedans.csv,main-features-csv
IZZY-AVATR-12-MAX-EXTENDED-RANGE-2026,Hybrid,Brand new,Sedan,AVATR,12 Max Extended Range,,Range extender,,2026,,Automatic,RWD,,,,39700,40700,630850,5,,,356,,WhatsApp Chat,{},Group_Sedans.csv,main-features-csv
IZZY-BYD-SONG-PLUS-DM-I-1-5-CHAMPION-FLAGSHIP-PLUS-2023,Hybrid,Used,SUV,BYD,Song Plus DM-i 1.5 Champion Flagship Plus,"50,000 km",Plug-in hybrid,1.5L,2023,,CVT,FWD,,,,16900,17900,277450,5,,,150,,WhatsApp Chat,{},Group_SUVs.csv,main-features-csv
IZZY-BYD-SEAL-05-DM-I-2026,Hybrid,Brand new,SUV,BYD,Seal 05 DM-i,,Plug-in hybrid,,2026,,Automatic,,,,,14000,15000,232500,5,,,128,,WhatsApp Chat,{},Group_SUVs.csv,main-features-csv
IZZY-BYD--FANGCHENGBAO--LEOPARD-8-SMART-ADVENTURE-FLAGSHIP-2025,Hybrid,Used,SUV,BYD (Fangchengbao),Leopard 8 Smart Adventure Flagship,,Plug-in hybrid,2.0T CVT 2000cc,2025,,Automatic,4WD,,,,51500,52500,813750,7,,,,,WhatsApp Chat,{},Group_SUVs.csv,main-features-csv
IZZY-BYD--FANGCHENGBAO--LEOPARD-8-ZHIYONG-FLAGSHIP-2025,Hybrid,Used,SUV,BYD (Fangchengbao),Leopard 8 Zhiyong Flagship,"45,000 km",Plug-in hybrid,2.0T CVT,2025,,Automatic,4WD,,,,50200,51200,793600,7,,,,,WhatsApp Chat,{},Group_SUVs.csv,main-features-csv
IZZY-CHANGAN-CS75-HYBRID-FLAGSHIP-2026,Hybrid,Brand new,SUV,Changan,CS75 Hybrid Flagship,,Hybrid,,2026,,Automatic,,,White / Gray,,24150,25150,389825,5,,,,,WhatsApp Chat,{},Group_SUVs.csv,main-features-csv
IZZY-CHANGAN-CS75-HYBRID-LEADING-2026,Hybrid,Brand new,SUV,Changan,CS75 Hybrid Leading,,Hybrid,,2026,,Automatic,,,White / Gray,,25600,26600,412300,5,,,,,WhatsApp Chat,{},Group_SUVs.csv,main-features-csv
IZZY-CHANGAN-DEEPAL-G318-2025,Hybrid,Brand new,SUV,Changan,Deepal G318,,Range extender,1.5T range extender,2025,,Automatic,4WD,,,,33600,34600,536300,5,,,,,WhatsApp Chat,{},Group_SUVs.csv,main-features-csv
IZZY-CHERY-TIGGO-9-C-DM-2025,Hybrid,Used,SUV,Chery,Tiggo 9 C-DM,"39,000 km",Plug-in hybrid,1.5T,2025,,Automatic,,,,,21800,22800,353400,7,,,,,WhatsApp Chat,{},Group_SUVs.csv,main-features-csv
IZZY-CHERY-TIGGO-7-C-DM-120KM-2025,Hybrid,Used,SUV,Chery,Tiggo 7 C-DM 120KM,100 km,Plug-in hybrid,1.5T,2025,,Automatic,,,,,17850,18850,292175,5,,,,120,WhatsApp Chat,{},Group_SUVs.csv,main-features-csv
IZZY-CHERY-TIGGO-9-C-DM-SUPER-ENJOY-2025-2025,Hybrid,Used,SUV,Chery,Tiggo 9 C-DM Super Enjoy 2025,"19,000-22,000 km",PHEV,1.5T,2025,,Automatic,,,Silver,,22966,23966,371473,7,,,,,WhatsApp Chat,{},Group_SUVs.csv,main-features-csv
IZZY-CHERY-TIGGO-8-PLUS-C-DM-PREMIUM-1-5T-2025,Hybrid,Used,SUV,Chery,Tiggo 8 Plus C-DM Premium 1.5T,,PHEV,1.5T,2025,,Automatic,,,Blue,,20212,21212,328786,5,,,,,WhatsApp Chat,{},Group_SUVs.csv,main-features-csv
IZZY-CHERY-FENGYUN-T8-1-5T-PRESTIGE-2025,Hybrid,Used,SUV,Chery,Fengyun T8 1.5T Prestige,"4,603 km",PHEV,1.5T,2025,,Automatic,,,Gray,,20502,21502,333281,5,,,,,WhatsApp Chat,{},Group_SUVs.csv,main-features-csv
IZZY-EXEED-LANYUE-C-DM-ULTRA-2025,Hybrid,Used,SUV,Exeed,Lanyue C-DM Ultra,"13,000 km",Plug-in hybrid,1.5T 180hp,2025,,Automatic,AWD,,,,28500,29500,457250,6,,,,,WhatsApp Chat,{},Group_SUVs.csv,main-features-csv
IZZY-EXEED-YAOGUANG-C-DM-LONG-RANGE-PRO-2024,Hybrid,Used,SUV,Exeed,Yaoguang C-DM Long-Range Pro,"63,000 km",Plug-in hybrid,1.5T,2024,,Automatic,,,,,19800,20800,322400,5,,,,,WhatsApp Chat,{},Group_SUVs.csv,main-features-csv
IZZY-GAC-TRUMPCHI-ES9-PHEV-2-0T-143KM-PRO-2023,Hybrid,Used,SUV,GAC Trumpchi,ES9 PHEV 2.0T 143km Pro,"18,000 km",Plug-in hybrid,2.0T,2023,,Automatic,,,,,25400,26400,409200,6,,,143,,WhatsApp Chat,{},Group_SUVs.csv,main-features-csv
IZZY-HAVAL-RAPTOR-HI4-1-5T-102-PRO-2024,Hybrid,Used,SUV,Haval,Raptor Hi4 1.5T 102 Pro,"8,000 km",Plug-in hybrid,1.5T,2024,,Automatic,4WD,,,,25700,26700,413850,5,,,,,WhatsApp Chat,{},Group_SUVs.csv,main-features-csv
IZZY-HONDA-CR-V-HYBRID-2WD-2021,Hybrid,Used,SUV,Honda,CR-V Hybrid 2WD,"80,000 km",Hybrid,2.0L,2021,,CVT,2WD,,,,20700,21700,336350,5,,,,,WhatsApp Chat,{},Group_SUVs.csv,main-features-csv
IZZY-HONDA-ACCORD-10TH-GEN-2022-HYBRID-2-0-2021,Hybrid,Used,Sedan,Honda,Accord 10th-gen 2022 Hybrid 2.0,"80,000 km",Hybrid,2.0L,2021,,CVT,FWD,,,,18400,19400,300700,5,,,,,WhatsApp Chat,{},Group_Sedans.csv,main-features-csv
IZZY-JETOUR-SHANHAI-L7-1-5T-MAX-2024,Hybrid,Used,SUV,Jetour,Shanhai L7 1.5T MAX,"30,000 km",Plug-in hybrid,1.5T,2024,,Automatic,FWD,,,,19100,20100,311550,5,,,120,,WhatsApp Chat,{},Group_SUVs.csv,main-features-csv
IZZY-JETOUR-SHANHAI-T2-C-DM-FOREST-2024,Hybrid,Used,SUV,Jetour,Shanhai T2 C-DM Forest,"20,000 km",Plug-in hybrid,1.5T,2024,,Automatic,,,,,24500,25500,395250,5,,,129,,WhatsApp Chat,{},Group_SUVs.csv,main-features-csv
IZZY-JETOUR-SHANHAI-T2-C-DM-WILDERNESS-2024,Hybrid,Used,SUV,Jetour,Shanhai T2 C-DM Wilderness,"38,000 km",Plug-in hybrid,1.5T,2024,,Automatic,,,,,24000,25000,387500,5,,,129,,WhatsApp Chat,{},Group_SUVs.csv,main-features-csv
IZZY-JETOUR-SHANHAI-T2-2-0T-2024,Hybrid,Used,SUV,Jetour,Shanhai T2 2.0T,"5,000 km",Hybrid,2.0T,2024,,Automatic,,,,,26500,27500,426250,5,,,,,WhatsApp Chat,{},Group_SUVs.csv,main-features-csv
IZZY-JETOUR-ZONGHENG-G700-CDM-O-2-0T-WILDERNESS-2025,Hybrid,Used,SUV,Jetour,Zongheng G700 CDM-O 2.0T Wilderness,"6,000 km",Plug-in hybrid,2.0T,2025,,Automatic,,,,,53500,54500,844750,6,,,,,WhatsApp Chat,{},Group_SUVs.csv,main-features-csv
IZZY-JETOUR-ZONGHENG-G700-CDM-O-2-0T-XIANGJING-2025,Hybrid,Used,SUV,Jetour,Zongheng G700 CDM-O 2.0T Xiangjing,"3,000 km",Plug-in hybrid,2.0T,2025,,Automatic,,,,,50500,51500,798250,5,,,,,WhatsApp Chat,{},Group_SUVs.csv,main-features-csv
IZZY-JETOUR-ZONGHENG-G700-CDM-O-2-0T-ENJOY-2025,Hybrid,Used,SUV,Jetour,Zongheng G700 CDM-O 2.0T Enjoy,"1,000 km",Plug-in hybrid,2.0T,2025,,Automatic,,,,,53000,54000,837000,6,,,,,WhatsApp Chat,{},Group_SUVs.csv,main-features-csv
IZZY-LAND-ROVER-RANGE-ROVER-SPORT-2024-3-0T-48V-2024,Hybrid,Used,SUV,Land Rover,Range Rover Sport 2024 3.0T 48V,"50,000 km",Mild hybrid,3.0T,2024,,Automatic,4WD,,,,114500,115500,1790250,5,,,,,WhatsApp Chat,{},Group_SUVs.csv,main-features-csv
IZZY-LI-AUTO-L9-PRO-SMART-REFRESH-2025,Hybrid,Used,SUV,Li Auto,L9 Pro Smart Refresh,"23,000 km",Range extender,1.5T range extender,2025,,Automatic,,,,,51500,52500,813750,6,,,,,WhatsApp Chat,{},Group_SUVs.csv,main-features-csv
IZZY-LYNK---CO-900-1-5T-ULTRA-2025,Hybrid,Used,MPV,Lynk & Co,900 1.5T Ultra,"8,000 km",Plug-in hybrid,1.5T,2025,,Automatic,,,,,46500,47500,736250,6,,,,,WhatsApp Chat,{},Group_MPVs.csv,main-features-csv
IZZY-MITSUBISHI-OUTLANDER-2023-1-5T-AWD-7-SEAT-2022,Hybrid,Used,SUV,Mitsubishi,Outlander 2023 1.5T AWD 7-seat,"50,000 km",Mild hybrid,1.5T,2022,,CVT,AWD,,,,22900,23900,370450,7,,,,,WhatsApp Chat,{},Group_SUVs.csv,main-features-csv
IZZY-TOYOTA-LAND-CRUISER-PRADO-HEV-TX-2024,Hybrid,Used,SUV,Toyota,Land Cruiser Prado HEV TX,"13,000 km",Hybrid,2.4T,2024,,Automatic,4WD,,,,69500,70500,1092750,5,,,,,WhatsApp Chat,{},Group_SUVs.csv,main-features-csv
IZZY-TOYOTA-RAV4-RONGFANG-HYBRID-ELITE-PLUS-2022,Hybrid,Used,SUV,Toyota,RAV4 Rongfang Hybrid Elite Plus,"63,000 km",Hybrid,2.5L,2022,,CVT,AWD,,,,22500,23500,364250,5,,,,,WhatsApp Chat,{},Group_SUVs.csv,main-features-csv
IZZY-TOYOTA-RAV4-HYBRID-2-5L-2026,Hybrid,Brand new,SUV,Toyota,RAV4 Hybrid 2.5L,,Hybrid,2.5L up to 236hp,2026,,e-CVT,FWD / AWD,,,,31800,32800,508400,5,,,,,WhatsApp Chat,{},Group_SUVs.csv,main-features-csv
IZZY-TOYOTA-COROLLA-CROSS-2-0-HYBRID-ELITE-2026,Hybrid,Brand new,SUV,Toyota,Corolla Cross 2.0 Hybrid Elite,,Hybrid,2.0L,2026,,CVT,FWD,,,White,21100,22100,342550,5,,,,,WhatsApp Chat,{},Group_SUVs.csv,main-features-csv
IZZY-TOYOTA-LEVIN-HYBRID-2019-1-8H-SPORT-2020,Hybrid,Used,Sedan,Toyota,Levin Hybrid 2019 1.8H Sport,"80,000 km",Hybrid,1.8L,2020,,CVT,FWD,,,,11700,12700,196850,5,,,,,WhatsApp Chat,{},Group_Sedans.csv,main-features-csv
IZZY-TOYOTA-COROLLA-DUAL-ENGINE-E--2019-2020,Hybrid,Used,Sedan,Toyota,Corolla Dual Engine E+ 2019,"80,000 km",Hybrid,1.8L,2020,,CVT,FWD,,,,13600,14600,226300,5,,,,,WhatsApp Chat,{},Group_Sedans.csv,main-features-csv
IZZY-TOYOTA-COROLLA-HYBRID-2021-2020,Hybrid,Used,Sedan,Toyota,Corolla Hybrid 2021,"130,000 km",Hybrid,1.8L,2020,,CVT,FWD,,,,13600,14600,226300,5,,,,,WhatsApp Chat,{},Group_Sedans.csv,main-features-csv
IZZY-TOYOTA-COROLLA-HYBRID-2022-PIONEER-2022,Hybrid,Used,Sedan,Toyota,Corolla Hybrid 2022 Pioneer,"32,000 km",Hybrid,1.8L,2022,,CVT,FWD,,,,14500,15500,240250,5,,,,,WhatsApp Chat,{},Group_Sedans.csv,main-features-csv
IZZY-VOYAH-DREAMER-ULTRA-2025-2025,Hybrid,Brand new,MPV,Voyah,Dreamer Ultra 2025,,PHEV,,2025,,Automatic,AWD,,,,62000,63000,976500,7,,,,,WhatsApp Chat,{},Group_MPVs.csv,main-features-csv
IZZY-VOYAH-DREAMER-ULTRA-2026-2026,Hybrid,Brand new,MPV,Voyah,Dreamer Ultra 2026,,PHEV,,2026,,Automatic,AWD,,,,65000,66000,1023000,7,,,,,WhatsApp Chat,{},Group_MPVs.csv,main-features-csv
IZZY-VOYAH-DREAMER-ULTRA-TWO-TONE-2026,Hybrid,Brand new,MPV,Voyah,Dreamer Ultra Two-Tone,,PHEV,,2026,,Automatic,AWD,,,,66000,67000,1038500,7,,,,,WhatsApp Chat,{},Group_MPVs.csv,main-features-csv
IZZY-VOYAH-DREAMER-COLLECTOR-S-EDITION-2025,Hybrid,Brand new,MPV,Voyah,Dreamer Collector's Edition,,PHEV,,2025,,Automatic,AWD,,,,64000,65000,1007500,7,,,,,WhatsApp Chat,{},Group_MPVs.csv,main-features-csv
IZZY-VOYAH-DREAMER-COLLECTOR-S-EDITION-2026-2026,Hybrid,Brand new,MPV,Voyah,Dreamer Collector's Edition 2026,,PHEV,,2026,,Automatic,AWD,,,,67000,68000,1054000,7,,,,,WhatsApp Chat,{},Group_MPVs.csv,main-features-csv
IZZY-VOYAH-DREAMER-COLLECTOR-S-TWO-TONE-2025-2025,Hybrid,Brand new,MPV,Voyah,Dreamer Collector's Two-Tone 2025,,PHEV,,2025,,Automatic,AWD,,,,65000,66000,1023000,7,,,,,WhatsApp Chat,{},Group_MPVs.csv,main-features-csv
IZZY-VOYAH-DREAMER-COLLECTOR-S-TWO-TONE-2026-2026,Hybrid,Brand new,MPV,Voyah,Dreamer Collector's Two-Tone 2026,,PHEV,,2026,,Automatic,AWD,,,,68000,69000,1069500,7,,,,,WhatsApp Chat,{},Group_MPVs.csv,main-features-csv
IZZY-VOYAH-FREE-2021-1-5T-AWD-EREV-PREMIUM-2021,Hybrid,Used,SUV,Voyah,FREE 2021 1.5T AWD EREV Premium,"90,000 km",Range extender,1.5T,2021,,Automatic,AWD,,,,18200,19200,297600,5,,,,,WhatsApp Chat,{},Group_SUVs.csv,main-features-csv
IZZY-XPENG-GX--3-ROW-SUV--EREV-2026,Hybrid,Brand new,SUV,XPeng,GX (3-row SUV) EREV,,Range extender,,2026,,Single-speed,,,,,57300,58300,903650,6,,,430 (EV) / 1585 (combined),,WhatsApp Chat,{},Group_SUVs.csv,main-features-csv
IZZY-ZEEKR-9X-2-0T-MAX-55KWH-2025,Hybrid,Used,SUV,Zeekr,9X 2.0T Max 55kWh,"20,000 km",Range extender,2.0T + electric,2025,,Automatic,AWD,,,,71000,72000,1116000,5,,,,,WhatsApp Chat,{},Group_SUVs.csv,main-features-csv
IZZY-ZEEKR-9X-2026-MAX-2026,Hybrid,Brand new,SUV,Zeekr,9X 2026 Max,,Range extender,2.0T 205kW + dual-motor 660kW,2026,,1-DHT,,,,,81500,82500,1278750,,,300,660 kW,WhatsApp Chat,,{},Group_SUVs.csv,main-features-csv
IZZY-ZEEKR-9X-2026-ULTRA-2026,Hybrid,Brand new,SUV,Zeekr,9X 2026 Ultra,,Range extender,2.0T 205kW + dual-motor 660kW,2026,,1-DHT,,,,,86500,87500,1356250,,,300-380,660 kW,WhatsApp Chat,,{},Group_SUVs.csv,main-features-csv
IZZY-ZEEKR-9X-2026-OBSIDIAN-2026,Hybrid,Brand new,SUV,Zeekr,9X 2026 Obsidian,,Range extender,2.0T 205kW + tri-motor 1030kW,2026,,1-DHT,,,,,103500,104500,1619750,,,355,"1,030 kW",WhatsApp Chat,,{},Group_SUVs.csv,main-features-csv
IZZY-ACURA-RDX-2-0T-PREMIUM-A-SPEC-2020,Fuel,Used,SUV,Acura,RDX 2.0T Premium A-Spec,"60,000 km",Gasoline,2.0T,2020,,Automatic,,,,,32300,33300,516150,5,,,,,WhatsApp Chat,{},Group_SUVs.csv,main-features-csv
IZZY-ACURA-RDX-2-0T-SMART-ENJOYMENT-SH-AWD-2020,Fuel,Used,SUV,Acura,RDX 2.0T Smart Enjoyment SH-AWD,"98,000 km",Gasoline,2.0T,2020,,Automatic,AWD,,,,23700,24700,382850,5,,,,,WhatsApp Chat,{},Group_SUVs.csv,main-features-csv
IZZY-ACURA-CDX-1-5T-FWD-PREMIUM-2019,Fuel,Used,SUV,Acura,CDX 1.5T FWD Premium,"97,000 km",Gasoline,1.5T,2019,,Automatic,FWD,,,,17700,18700,289850,5,,,,,WhatsApp Chat,{},Group_SUVs.csv,main-features-csv
IZZY-BMW-3-SERIES-330LI-M-SPORT-NIGHT-2025,Fuel,Used,Sedan,BMW,3 Series 330Li M Sport Night,"10,000 km",Gasoline,2.0T,2025,,Automatic,RWD,,,,41000,42000,651000,5,,,,,WhatsApp Chat,{},Group_Sedans.csv,main-features-csv
IZZY-BUICK-REGAL-2022-1-5T-552T-2022,Fuel,Used,Sedan,Buick,Regal 2022 1.5T 552T,"80,000 km",Petrol,1.5T,2022,,Automatic,FWD,,,,16000,17000,263500,5,,,,,WhatsApp Chat,{},Group_Sedans.csv,main-features-csv
IZZY-BUICK-REGAL-2020-1-5T-552T-ELITE-2021,Fuel,Used,Sedan,Buick,Regal 2020 1.5T 552T Elite,"50,000 km",Petrol,1.5T,2021,,Automatic,FWD,,,,17000,18000,279000,5,,,,,WhatsApp Chat,{},Group_Sedans.csv,main-features-csv
IZZY-BYD-SONG-2016-1-5TID-GAI-SHI-2016,Fuel,Used,SUV,BYD,Song 2016 1.5TID Gai Shi,"130,000 km",Petrol,1.5TID,2016,,Automatic,FWD,,,,7400,8400,130200,5,,,,,WhatsApp Chat,{},Group_SUVs.csv,main-features-csv
IZZY-BYD-QIN-2014-1-5T-FLAGSHIP-2014,Fuel,Used,Sedan,BYD,Qin 2014 1.5T Flagship,"55,000 km",Petrol,1.5T,2014,,Automatic,FWD,,,,7200,8200,127100,5,,,,,WhatsApp Chat,{},Group_Sedans.csv,main-features-csv
IZZY-BYD-G5-2014-1-5TID-FLAGSHIP-2014,Fuel,Used,Sedan,BYD,G5 2014 1.5TID Flagship,"40,000 km",Petrol,1.5TID,2014,,Automatic,FWD,,,,7200,8200,127100,5,,,,,WhatsApp Chat,{},Group_Sedans.csv,main-features-csv
IZZY-BYD-F3-2015-1-5L-LUXURY-2015,Fuel,Used,Sedan,BYD,F3 2015 1.5L Luxury,"180,000 km",Petrol,1.5L,2015,,Automatic,FWD,,,,6300,7300,113150,5,,,,,WhatsApp Chat,{},Group_Sedans.csv,main-features-csv
IZZY-CATERPILLAR-950GC-WHEEL-LOADER-2025,Fuel,Brand new,Wheel loader,Caterpillar,950GC Wheel Loader,,Diesel,,2025,,,,,,,56800,57800,895900,1,,,,,WhatsApp Chat (machinery),{},Group_Machinery.csv,category-csv
IZZY-CHANGAN-UNI-K-2024,Fuel,Brand new,SUV (Mid-size SUV),Changan,UNI-K,,Gasoline,2.0T,2024,,8AT,FWD / 4WD,,,,17800,18800,291400,5,,,,,Changan brand new cars price list,{},Group_SUVs.csv,main-features-csv
IZZY-CHANGAN-X5-PLUS-1-5T-EXCELLENCE-2024,Fuel,Used,SUV,Changan,X5 Plus 1.5T Excellence,"23,000 km",Gasoline,1.5T,2024,,Automatic,FWD,,,,15000,16000,248000,5,,,,,WhatsApp Chat,{},Group_SUVs.csv,main-features-csv
IZZY-CHANGAN-CS55-PLUS-4TH-GEN-NEW-BLUE-WHALE-1-5T--4-TRIMS--2026,Fuel,Brand new,SUV,Changan,CS55 Plus 4th Gen New Blue Whale 1.5T (4 trims),,Gasoline,1.5T,2026,,Automatic,,,,,16300,17300,268150,5,,,,,WhatsApp Chat,{},Group_SUVs.csv,main-features-csv
IZZY-CHANGAN-X5-PLUS--LUXURY-MT--2026,Fuel,Brand new,SUV,Changan,X5 Plus (Luxury MT),,Petrol,1.5L 110hp,2026,,5MT,FWD,,,,12150,13150,203825,5,,,,,WhatsApp Chat,{},Group_SUVs.csv,main-features-csv
IZZY-CHANGAN-X5-PLUS--HIGH-ENERGY-PRO--2026,Fuel,Brand new,SUV,Changan,X5 Plus (High Energy PRO),,Petrol,1.5T 192hp,2026,,7DCT,FWD,,,,12850,13850,214675,5,,,,,WhatsApp Chat,{},Group_SUVs.csv,main-features-csv
IZZY-CHANGAN-X5-PLUS--PIONEER-PRO--2026,Fuel,Brand new,SUV,Changan,X5 Plus (Pioneer PRO),,Petrol,1.5T 192hp,2026,,7DCT,FWD,,,,13450,14450,223975,5,,,,,WhatsApp Chat,{},Group_SUVs.csv,main-features-csv
IZZY-CHANGAN-X5-PLUS-2026-2026,Fuel,Brand new,SUV,Changan,X5 Plus 2026,,Petrol,1.5T 192hp,2026,,7DCT,FWD,,,,13950,14950,231725,5,,,,,WhatsApp Chat,{},Group_SUVs.csv,main-features-csv
IZZY-CHANGAN-X5-PLUS--EXCELLENCE-PRO--2026,Fuel,Brand new,SUV,Changan,X5 Plus (Excellence PRO),,Petrol,1.5T 192hp,2026,,7DCT,FWD,,,,14550,15550,241025,5,,,,,WhatsApp Chat,{},Group_SUVs.csv,main-features-csv
IZZY-CHANGAN-CS75-2025,Fuel,Brand new,SUV,Changan,CS75,,Petrol,,2025,,Automatic,FWD,,,,17850,18850,292175,5,,,,,WhatsApp Chat,{},Group_SUVs.csv,main-features-csv
IZZY-CHANGAN-X5-PLUS-2025-EXCELLENCE-PRO-2025,Fuel,Brand new,SUV,Changan,X5 Plus 2025 Excellence Pro,,Petrol,1.5T 192hp,2025,,7DCT,FWD,,,,15650,16650,258075,5,,,,,WhatsApp Chat,{},Group_SUVs.csv,main-features-csv
IZZY-CHANGAN-UNI-K-2021-2-0T-EXCELLENCE-2021,Fuel,Used,SUV,Changan,UNI-K 2021 2.0T Excellence,"27,000 km",Petrol,2.0T,2021,,Automatic,FWD,,,,16700,17700,274350,5,,,,,WhatsApp Chat,{},Group_SUVs.csv,main-features-csv
IZZY-CHANGAN-UNI-K-2023-2-0T-2WD-ENJOY-2023,Fuel,Used,SUV,Changan,UNI-K 2023 2.0T 2WD Enjoy,"30,000 km",Petrol,2.0T,2023,,Automatic,2WD,,,,19200,20200,313100,5,,,,,WhatsApp Chat,{},Group_SUVs.csv,main-features-csv
IZZY-CHANGAN-UNI-K-2024-2-0T-2WD-ENJOY-2023,Fuel,Used,SUV,Changan,UNI-K 2024 2.0T 2WD Enjoy,"35,000 km",Petrol,2.0T,2023,,Automatic,2WD,,,,20000,21000,325500,5,,,,,WhatsApp Chat,{},Group_SUVs.csv,main-features-csv
